date,confirmed,fatalities,new_case,growth_factor,mortality
2020-04-01,722862,43668,49512,1.0022266305007894,0.060409870763714235
2020-04-02,771958,47994,49096,0.9915979964453062,0.062171776184714714
2020-04-03,822068,52671,50110,1.0206534137200587,0.0640713420300997
2020-04-04,847500,56939,25432,0.5075234484134903,0.06718466076696165
2020-04-05,887433,60437,39933,1.570187165775401,0.06810316947870994
2020-04-06,928388,64519,40955,1.0255928680539905,0.06949572807920826
2020-04-07,966141,70141,37753,0.9218166280063484,0.07259913408084327
2020-04-08,1017028,74725,50887,1.3478928826848198,0.07347388665798778
2020-04-09,1066593,80183,49565,0.9740208697702754,0.07517675439460038
2020-04-10,1116304,85271,49711,1.0029456269545043,0.07638689819260704
2020-04-11,1160222,89197,43918,0.8834664360000805,0.07687925241893362
2020-04-12,1251677,93073,91455,2.082403570290086,0.074358640447975
2020-04-13,1294096,96900,42419,0.4638237384506041,0.07487852524078585
2020-04-14,1347914,101299,53818,1.2687239208845094,0.07515242070339799
2020-04-15,1398441,107006,50527,0.938849455572485,0.07651806547433893
2020-04-16,1461344,111919,62903,1.2449383497931799,0.07658634790986928
2020-04-17,1514298,118077,52954,0.8418358424876397,0.07797474473320311
2020-04-18,1562063,122106,47765,0.9020092910828266,0.07816970250239587
2020-04-19,1611289,125209,49226,1.0305872500785094,0.07770735107109898
2020-04-20,1655451,128705,44162,0.8971275342298786,0.07774618517854047
2020-04-21,1703535,133271,48084,1.0888093836329877,0.07823202928029069
2020-04-22,1753660,137480,50125,1.0424465518675652,0.07839604028146847
2020-04-23,1802698,141681,49038,0.9783142144638404,0.07859386319838375
2020-04-24,1852827,146083,50129,1.0222480525306905,0.07884330269366757
2020-04-25,1903233,149813,50406,1.0055257435815597,0.0787150075687002
2020-04-26,1946651,152236,43418,0.8613657104312978,0.078204054039476
2020-04-27,1991557,155289,44906,1.034271500299415,0.07797366583030262
2020-04-28,2040986,159446,49429,1.1007215071482652,0.07812204493318425
2020-04-29,2089943,163509,48957,0.9904509498472557,0.07823610500382068
2020-04-30,2142626,166976,52683,1.0761076046326368,0.07793053944085436
2020-05-01,2194186,170016,51560,0.9786838259020937,0.07748477111785418
2020-05-02,2244453,173632,50267,0.974922420480993,0.07736049719018398
2020-05-03,2293950,175813,49497,0.984681799192313,0.07664203666165348
2020-05-04,2346101,178404,52151,1.053619411277451,0.07604276201237713
2020-05-05,2400813,181815,54712,1.0491073996663536,0.07573059626051674
2020-05-06,2464801,185847,63988,1.1695423307501096,0.07540040757854286
2020-05-07,2524589,189081,59788,0.9343626930049385,0.07489575530908199
2020-05-08,2586553,192717,61964,1.0363952632635312,0.07450726894055525
2020-05-09,2645391,195310,58838,0.9495513523981667,0.07383029578614277
2020-05-10,2700323,197773,54932,0.9336143308746049,0.07324049752566637
2020-05-11,2756498,200083,56175,1.0226279764071944,0.0725859405666175
2020-05-12,2816885,203818,60387,1.0749799732977303,0.07235581147260182
2020-05-13,2880307,207120,63422,1.0502591617401096,0.07190900136686819
2020-05-14,2948496,210372,68189,1.0751631925830154,0.07134891822814073
2020-05-15,3018297,213804,69801,1.0236401765680683,0.07083597141036817
2020-05-16,3087319,216663,69022,0.9888397014369421,0.07017836511225435
2020-05-17,3145837,218939,58518,0.8478166381733361,0.06959642219224962
2020-05-18,3211527,221383,65690,1.1225605796507057,0.0689338747580201
2020-05-19,3286212,224499,74685,1.1369310397320749,0.06831543430551651
2020-05-20,3364301,227655,78089,1.0455780946642566,0.0676678454157342
2020-05-21,3444006,231033,79705,1.0206943359500058,0.06708263574453703
2020-05-22,3525563,234961,81557,1.0232356815758108,0.06664495854988267
2020-05-23,3608037,237704,82474,1.0112436700712386,0.06588180775308014
2020-05-24,3681184,239993,73147,0.8869098140019885,0.06519451350435078
2020-05-25,3748180,240518,66996,0.9159090598384075,0.06416927682235112
2020-05-26,3821507,243991,73327,1.0944981789957609,0.06384680179834813
2020-05-27,3904807,247490,83300,1.136007200621872,0.06338085339429068
2020-05-28,4000774,250829,95967,1.152064825930372,0.0626951184945713
2020-05-29,4096270,254224,95496,0.9950920628966207,0.06206231522824423
2020-05-30,4208370,257234,112100,1.1738711569070956,0.061124378322248284
2020-05-31,4294983,259261,86613,0.7726404995539696,0.06036368479223317
2020-06-01,4372732,261512,77749,0.8976597046632723,0.059805174430996456
2020-06-02,4472469,265151,99737,1.2828074959163462,0.05928515099825175
2020-06-03,4566173,269519,93704,0.939510913703039,0.059025139870959774
2020-06-04,4674813,273476,108640,1.1593955434133014,0.058499880102155954
2020-06-05,4779956,277123,105143,0.9678111192930781,0.05797605668336696
2020-06-06,4891949,280188,111993,1.0651493680035762,0.057275331365883
2020-06-07,4985662,282428,93713,0.8367755127552615,0.056648043930775896
2020-06-08,5069909,285579,84247,0.8989894678433088,0.05632822995442324
2020-06-09,5176101,289406,106192,1.2604840528446117,0.0559119692602598
2020-06-10,5289592,293538,113491,1.068733991261112,0.05549350498110251
2020-06-11,5404011,297317,114419,1.008176859839106,0.05501783767649622
2020-06-12,5507454,300668,103443,0.9040718761744115,0.05459292079425448
2020-06-13,5617037,304021,109583,1.0593563605077192,0.05412479924914149
